"id";"libelle";"est_supprimer";"created_id";"modificateur_id";"created_at";"updated_at";"pu"
"7";"Africian";"0";"47";"47";"2018-08-09 13:58:37";"2018-08-09 14:00:58";"0"
"8";"Béninois";"0";"47";"47";"2018-08-09 13:58:44";"2018-08-09 14:00:56";"0"
"9";"Français";"0";"47";"47";"2018-08-09 13:58:50";"2018-08-09 14:00:53";"0"
"10";"Asiatique";"0";"47";"47";"2018-08-09 13:59:02";"2018-08-09 14:00:51";"0"
"11";"STANDARD PACK";"1";"47";"96";"2018-08-09 14:01:03";"2018-12-06 12:59:41";"3500"
"12";"Resistance + Boisson";"0";"47";"47";"2018-08-09 14:01:09";"2018-08-29 14:54:12";"2500"
"13";"Resistance + Dessert + Boisson";"0";"47";"47";"2018-08-09 14:01:17";"2018-08-29 13:18:37";"3000"
"14";"Entrée + Resistance + Boisson";"0";"47";"47";"2018-08-29 13:18:58";"2018-09-27 20:27:55";"3000"
"15";"Spéciale week-and";"0";"47";"47";"2018-09-27 20:27:30";"2018-10-06 18:22:58";"10000"
"16";"SMALL PACK";"1";"96";NULL;"2018-12-06 12:59:22";"2018-12-06 12:59:22";"2500"
"17";"PACK ANNIVERSAIRE";"1";"96";NULL;"2019-03-19 22:14:24";"2019-03-19 22:14:24";"5500"
"18";"PACK SALADE DINER";"1";"1215";NULL;"2019-07-23 22:46:34";"2019-07-23 22:46:34";"2500"
"19";"Jardinière";"1";"47";"47";"2021-02-16 13:37:10";"2021-02-16 13:38:42";"1000"
"20";"Pack interne 1000F";"1";"47";"47";"2021-02-16 13:38:48";"2021-02-16 13:39:00";"1000"
"21";"Pack interne 1500F";"1";"47";"47";"2021-02-16 13:39:05";"2021-02-16 13:39:14";"1500"
